"Time of Day","Process Name","PID","Operation","Path","Result","Detail","User","Session","Description","Command Line"
"1:24:48.9814989","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9821426","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InprocServer32","NAME NOT FOUND","Desired Access: Read","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9822475","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9822696","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32\InprocServer32","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9823314","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9824172","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9825063","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9825923","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{0E5AAE11-A475-4c5b-AB00-C66DE400274E}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9899675","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9901110","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9902231","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9902500","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9908826","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49B9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9909891","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9911068","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9911325","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9918735","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9919500","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9920175","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9920324","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9928449","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9929457","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9930391","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9930615","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9935503","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9936611","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9937485","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9937688","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9944109","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450A-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9945037","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9945959","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9946453","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{04731B67-D933-450a-90E6-4ACD2E9408FE}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
